Cinema,First day of screening,Screening Days,Title (original),IMDB ID
Метрополь / Metropol',01/01/1946,50,Разгром Японии,171687
Москва / Moskva,01/01/1946,15,Разгром Японии,171687
Родина / Rodina,01/01/1946,3,Разгром Японии,171687
Востоккино / Vostokkino,01/01/1946,45,Разгром Японии,171687
Баррикады / Barrikady,01/01/1946,2,Разгром Японии,171687
Луч / Luch,01/01/1946,2,Разгром Японии,171687
Хроника / Khronika,01/01/1946,4,Разгром Японии,171687
Театр киноактера / Teatr kinoaktera,01/01/1946,17,Близнецы,39925
Ударник / Udarnik,01/01/1946,18,Близнецы,39925
Родина / Rodina,01/01/1946,3,Близнецы,39925
Метрополь / Metropol',01/01/1946,30,Близнецы,39925
Художественный / Khudozhestvennyĭ,01/01/1946,18,Близнецы,39925
Форум / Forum,01/01/1946,18,Близнецы,39925
Динамо / Dinamo,01/01/1946,18,Близнецы,39925
Колизей / Kolizeĭ,01/01/1946,18,Близнецы,39925
Москва / Moskva,01/01/1946,18,Близнецы,39925
Шторм / Shtorm,01/01/1946,18,Близнецы,39925
Таганский / Taganskiĭ,01/01/1946,18,Близнецы,39925
Центральный / Tsentral'nyĭ,01/01/1946,18,Близнецы,39925
Орион / Orion,01/01/1946,18,Близнецы,39925
Экран жизни / Ėkran zhizni,01/01/1946,32,Близнецы,39925
Метрополь / Metropol',01/01/1946,8,"Специальный киновыпуск ""Челси"" - ""Динамо""",Unknown
Наука и знание / Nauka i znanie,01/01/1946,4,"Специальный киновыпуск ""Челси"" - ""Динамо""",Unknown
Ударник / Udarnik,01/01/1946,8,"Специальный киновыпуск ""Кардифф-Сити"" - ""Динамо""",Unknown
Центральный / Tsentral'nyĭ,01/01/1946,11,"Специальный киновыпуск ""Кардифф-Сити"" - ""Динамо""",Unknown
Метрополь / Metropol',01/01/1946,8,"Специальный киновыпуск ""Кардифф-Сити"" - ""Динамо""",Unknown
Родина / Rodina,01/01/1946,1,"Специальный киновыпуск ""Кардифф-Сити"" - ""Динамо""",Unknown
Новости дня / Novosti dnia,01/01/1946,17,"Специальный киновыпуск ""Кардифф-Сити"" - ""Динамо""",Unknown
Театр киноактера / Teatr kinoaktera,01/01/1946,11,"Специальный выпуск ""Ренджерс"" - ""Динамо""",Unknown
Москва / Moskva,01/01/1946,8,"Специальный выпуск ""Ренджерс"" - ""Динамо""",Unknown
Метрополь / Metropol',01/01/1946,8,"Специальный выпуск ""Ренджерс"" - ""Динамо""",Unknown
Родина / Rodina,01/01/1946,3,"Специальный выпуск ""Ренджерс"" - ""Динамо""",Unknown
Новости дня / Novosti dnia,01/01/1946,17,"Специальный выпуск ""Ренджерс"" - ""Динамо""",Unknown
Новости дня / Novosti dnia,01/01/1946,1,Новости дня №44 1946 г.,Unknown
Метрополь / Metropol',01/01/1946,18,Весенний вальс,33095
Смена / Smena,01/01/1946,4,Весенний вальс,33095
Мир / Mir,01/01/1946,8,Аршин Мал-Алан,37520
Наука и знание / Nauka i znanie,01/01/1946,4,Лыжный спорт,Unknown
Метрополь / Metropol',01/01/1946,8,Лисички,Unknown
Таганский ПКиО / Taganskiĭ PKIO,01/01/1946,4,Лисички,Unknown
Арс / Ars,01/01/1946,7,Лисички,Unknown
Авангард / Avangard,01/01/1946,3,Тахир и Зухра,237800
Октябрь / Oktiabr',01/01/1946,1,Георгий Саакадзе 2 серия,34781
Уран / Uran,01/01/1946,3,Девушка спешит на свидание,27522
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,01/01/1946,7,На границе,30489
им. III Интернационала / im. III Internatsionala,01/01/1946,1,Поединок,37914
Диск / Disk,01/01/1946,4,Поединок,37914
Молот / Molot,01/01/1946,7,Воздушный извозчик,37353
Юный зритель / IUnyĭ zritel',01/01/1946,4,Нашествие,37937
Экспресс / Ėkspress,01/01/1946,4,Я - черноморец,2651000
Аврора / Avrora,01/01/1946,4,Разгром Юденича,34084
Кадр / Kadr,01/01/1946,3,Морской пост,6027678
Спартак / Spartak,01/01/1946,4,Серенада солнечной долины,34241
Заря / Zaria,01/01/1946,4,В шесть часов вечера после войны,37423
Новости дня / Novosti dnia,02/01/1946,1,Новости дня №44 1946 г.,Unknown
Октябрь / Oktiabr',02/01/1946,3,Лисички,Unknown
им. III Интернационала / im. III Internatsionala,02/01/1946,6,Мужество,31687
Аврора / Avrora,02/01/1946,1,Извержение Везувия,Unknown
Ударник / Udarnik,02/01/1946,3,Яков Свердлов,33277
Динамо / Dinamo,02/01/1946,3,Суворов,33118
Наука и знание / Nauka i znanie,03/01/1946,2,Футболисты,Unknown
Луч / Luch,03/01/1946,1,Тахир и Зухра,237800
Баррикады / Barrikady,03/01/1946,2,Морской пост,6027678
Москва / Moskva,03/01/1946,1,Небо Москвы,37122
Уран / Uran,04/01/1946,11,Серенада солнечной долины,34241
Родина / Rodina,07/01/1946,12,Разгром Японии,171687
Родина / Rodina,07/01/1946,12,Близнецы,39925
Спартак / Spartak,07/01/1946,12,Весенний вальс,33095
Экспресс / Ėkspress,07/01/1946,5,Аршин Мал-Алан,37520
Наука и знание / Nauka i znanie,07/01/1946,8,Яков Свердлов,33277
Юный зритель / IUnyĭ zritel',07/01/1946,1,Моя любовь,32812
Луч / Luch,07/01/1946,2,Моя любовь,32812
Хроника / Khronika,07/01/1946,5,Новости дня №45 1946 г.,Unknown
Хроника / Khronika,07/01/1946,11,Новости дня №46 1946 г.,Unknown
Востоккино / Vostokkino,07/01/1946,20,Свинарка и пастух,34249
Октябрь / Oktiabr',07/01/1946,2,Член правительства,32337
Таганский ПКиО / Taganskiĭ PKIO,07/01/1946,2,Партизаны в степях Украины,1346998
Смена / Smena,07/01/1946,5,Малахов Курган,37043
Кадр / Kadr,07/01/1946,5,Подводная лодка Т-9,1767363
Молот / Molot,07/01/1946,1,Ленин в 1918 году,31564
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,07/01/1946,1,Ленин в Октябре,29132
Центральный / Tsentral'nyĭ,07/01/1946,1,Человек с ружьем,29986
Шторм / Shtorm,07/01/1946,1,Оборона Царицына,35142
Аврора / Avrora,07/01/1946,1,Она защищает Родину,36236
Авангард / Avangard,07/01/1946,1,Небо Москвы,37122
Диск / Disk,07/01/1946,1,Петр Первый 2 серия,29405
Театр киноактера / Teatr kinoaktera,07/01/1946,2,Суворов,33118
Экран жизни / Ėkran zhizni,07/01/1946,1,Кутузов,36572
Таганский / Taganskiĭ,07/01/1946,1,Чапаев,24966
Луч / Luch,07/01/1946,1,Зоя,37482
Колизей / Kolizeĭ,07/01/1946,1,Зоя,37482
Заря / Zaria,07/01/1946,1,Подруги,26874
Баррикады / Barrikady,07/01/1946,1,Будапешт,Unknown
Баррикады / Barrikady,07/01/1946,1,Вена,Unknown
Орион / Orion,07/01/1946,1,Как закалялась сталь,34932
Родина / Rodina,07/01/1946,1,Большая земля,36657
Художественный / Khudozhestvennyĭ,07/01/1946,1,Жила-была девочка,37479
Экспресс / Ėkspress,07/01/1946,1,Всесоюзный парад физкультурников,Unknown
Ударник / Udarnik,08/01/1946,8,Слон и веревочка,170584
Метрополь / Metropol',08/01/1946,36,Слон и веревочка,170584
Москва / Moskva,08/01/1946,7,Слон и веревочка,170584
Родина / Rodina,08/01/1946,8,Слон и веревочка,170584
Уран / Uran,08/01/1946,8,Слон и веревочка,170584
Юный зритель / IUnyĭ zritel',08/01/1946,8,Слон и веревочка,170584
Октябрь / Oktiabr',08/01/1946,8,Слон и веревочка,170584
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,08/01/1946,1,"Специальный киновыпуск ""Кардифф-Сити"" - ""Динамо""",Unknown
Арс / Ars,08/01/1946,7,Весенний вальс,33095
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,08/01/1946,25,Остров сокровищ,430677
Молот / Molot,08/01/1946,7,Дни и ночи,37646
им. III Интернационала / im. III Internatsionala,08/01/1946,7,Победа,30594
Авангард / Avangard,08/01/1946,4,Серенада солнечной долины,34241
Баррикады / Barrikady,08/01/1946,10,Тахир и Зухра,237800
Аврора / Avrora,08/01/1946,4,Лермонтов,37015
Заря / Zaria,08/01/1946,4,Комендант птичьего острова,22065
Диск / Disk,08/01/1946,4,Бесприданница,28622
Октябрь / Oktiabr',11/01/1946,1,В шесть часов вечера после войны,37423
Таганский ПКиО / Taganskiĭ PKIO,11/01/1946,1,Сердца четырех,38533
Мир / Mir,11/01/1946,4,Сестра его дворецкого,36001
Ударник / Udarnik,11/01/1946,1,Ленин в Октябре,29132
Динамо / Dinamo,11/01/1946,1,Петр Первый 2 серия,29405
Москва / Moskva,11/01/1946,1,Партизаны в степях Украины,1346998
Художественный / Khudozhestvennyĭ,12/01/1946,3,Как закалялась сталь,34932
Родина / Rodina,12/01/1946,3,Партизаны в степях Украины,1346998
Центральный / Tsentral'nyĭ,12/01/1946,3,Ленин в Октябре,29132
Колизей / Kolizeĭ,12/01/1946,3,Как закалялась сталь,34932
Форум / Forum,12/01/1946,2,Ленинград в борьбе,34971
Востоккино / Vostokkino,12/01/1946,2,Щорс,31919
Уран / Uran,12/01/1946,2,Оборона Царицына,35142
Экран жизни / Ėkran zhizni,12/01/1946,3,Петр Первый 2 серия,29405
Экспресс / Ėkspress,12/01/1946,3,Парад Победы,7030214
Экспресс / Ėkspress,12/01/1946,3,"Специальный киновыпуск ""Челси"" - ""Динамо""",Unknown
Экспресс / Ėkspress,12/01/1946,3,Кубок СССР,Unknown
Экспресс / Ėkspress,12/01/1946,3,"Специальный выпуск ""Ренджерс"" - ""Динамо""",Unknown
Спартак / Spartak,12/01/1946,2,"Специальный киновыпуск ""Челси"" - ""Динамо""",Unknown
Спартак / Spartak,12/01/1946,2,Футболисты,Unknown
Спартак / Spartak,12/01/1946,2,Кубок СССР,Unknown
Спартак / Spartak,12/01/1946,2,Парад Победы,7030214
Молот / Molot,12/01/1946,3,Шел солдат с фронта,12131680
Мир / Mir,12/01/1946,2,Иван Никулин - русский матрос,36963
Шторм / Shtorm,12/01/1946,3,Чапаев,24966
им. III Интернационала / im. III Internatsionala,12/01/1946,2,За Советскую Родину,29813
Баррикады / Barrikady,12/01/1946,2,Битва за Севастополь,5252570
Луч / Luch,12/01/1946,3,Подруги,26874
Юный зритель / IUnyĭ zritel',12/01/1946,2,Выборгская сторона,32104
Орион / Orion,12/01/1946,3,Член правительства,32337
Таганский ПКиО / Taganskiĭ PKIO,12/01/1946,4,Разгром Японии,171687
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,12/01/1946,3,Человек с ружьем,29986
Смена / Smena,12/01/1946,2,Амур, Unknown
Смена / Smena,12/01/1946,2,Озеро Телецкое,Unknown
Смена / Smena,12/01/1946,2,Советское Приморье,Unknown: net-film.ru
Смена / Smena,12/01/1946,2,Сибирь Советская,Unknown: net-film.ru
Арс / Ars,12/01/1946,2,Якутия,Unknown
Арс / Ars,12/01/1946,2,Хакассия,Unknown
Арс / Ars,12/01/1946,2,Горная Шория,Unknown
Арс / Ars,12/01/1946,2,В уссурийской тайге,Unknown
Октябрь / Oktiabr',12/01/1946,2,Ленин в 1918 году,31564
Кадр / Kadr,12/01/1946,3,Она защищает Родину,36236
Заря / Zaria,13/01/1946,2,За Советскую Родину,29813
Авангард / Avangard,13/01/1946,2,Непобедимые,35118
Аврора / Avrora,13/01/1946,2,Зоя,37482
Диск / Disk,13/01/1946,2,Суворов,33118
Экспресс / Ėkspress,14/01/1946,5,Без вины виноватые,37540
Луч / Luch,14/01/1946,1,Девушка спешит на свидание,27522
Октябрь / Oktiabr',14/01/1946,5,Воздушный извозчик,37353
Смена / Smena,14/01/1946,5,Маскарад,33886
Аврора / Avrora,14/01/1946,2,Тахир и Зухра,237800
Юный зритель / IUnyĭ zritel',14/01/1946,5,Тетка Чарлея,33457
Мир / Mir,15/01/1946,4,Весенний вальс,33095
Наука и знание / Nauka i znanie,15/01/1946,2,Рождение радио,Unknown
Наука и знание / Nauka i znanie,15/01/1946,2,Наука и техника №29 1946 г.,Unknown
им. III Интернационала / im. III Internatsionala,15/01/1946,7,В шесть часов вечера после войны,37423
Луч / Luch,15/01/1946,4,Серенада солнечной долины,34241
Уран / Uran,15/01/1946,4,В старом Чикаго,29047
Заря / Zaria,15/01/1946,4,Тахир и Зухра,237800
Кадр / Kadr,15/01/1946,3,Возрождение,Unknown
Авангард / Avangard,15/01/1946,4,Насреддин в Бухаре,36196
Молот / Molot,15/01/1946,4,Моя любовь,32812
Диск / Disk,15/01/1946,4,Морской пост,6027678
Арс / Ars,15/01/1946,4,Аршин Мал-Алан,37520
Театр киноактера / Teatr kinoaktera,15/01/1946,2,Щорс,31919
Ударник / Udarnik,16/01/1946,3,Разгром Японии,171687
Колизей / Kolizeĭ,16/01/1946,6,Слон и веревочка,170584
Таганский ПКиО / Taganskiĭ PKIO,16/01/1946,3,Дело Артамоновых,33522
Аврора / Avrora,16/01/1946,3,Лисички,Unknown
Динамо / Dinamo,16/01/1946,3,Кутузов,36572
Москва / Moskva,16/01/1946,3,Ураган,29030
Наука и знание / Nauka i znanie,17/01/1946,5,Человек с ружьем,29986
Ударник / Udarnik,17/01/1946,2,Ленин в 1918 году,31564
Москва / Moskva,17/01/1946,2,Битва за Севастополь,5252570
Театр киноактера / Teatr kinoaktera,18/01/1946,8,Песни Абая,175031
Хроника / Khronika,18/01/1946,12,Красная звезда (Югославия) - ЦДКА (Москва),Unknown
Новости дня / Novosti dnia,18/01/1946,12,Красная звезда (Югославия) - ЦДКА (Москва),Unknown
Хроника / Khronika,18/01/1946,11,Новости дня №1 1946 г.,Unknown
Новости дня / Novosti dnia,18/01/1946,11,Новости дня №1 1946 г.,Unknown
Хроника / Khronika,18/01/1946,11,Новости дня №2 1946 г.,Unknown
Новости дня / Novosti dnia,18/01/1946,11,Новости дня №2 1946 г.,Unknown
Баррикады / Barrikady,18/01/1946,1,Партизаны в степях Украины,1346998
Кадр / Kadr,18/01/1946,4,Зоя,37482
Художественный / Khudozhestvennyĭ,19/01/1946,3,Учитель,32070
Родина / Rodina,19/01/1946,3,Небо Москвы,37122
Центральный / Tsentral'nyĭ,19/01/1946,3,Ленин в 1918 году,31564
Колизей / Kolizeĭ,19/01/1946,2,Член правительства,32337
Форум / Forum,19/01/1946,2,Партизаны в степях Украины,1346998
Востоккино / Vostokkino,19/01/1946,2,Выборгская сторона,32104
Уран / Uran,19/01/1946,3,Шел солдат с фронта,12131680
Экран жизни / Ėkran zhizni,19/01/1946,3,Суворов,33118
Экспресс / Ėkspress,19/01/1946,2,Памятники Октября в Ленинграде,Unknown
Экспресс / Ėkspress,19/01/1946,2,Новодевичий монастырь,Unknown
Экспресс / Ėkspress,19/01/1946,2,Архитектура Ленинграда,Unknown
Спартак / Spartak,19/01/1946,2,По военно-грузинской дороге,Unknown
Спартак / Spartak,19/01/1946,2,По Абхазии,Unknown
Спартак / Spartak,19/01/1946,2,На побережье Аджарии,Unknown
Спартак / Spartak,19/01/1946,2,На Родине вождя,Unknown
Спартак / Spartak,19/01/1946,2,Цхалтубо,Unknown
Молот / Molot,19/01/1946,2,Яков Свердлов,33277
Мир / Mir,19/01/1946,2,Разгром Японии,171687
Шторм / Shtorm,19/01/1946,3,Щорс,31919
им. III Интернационала / im. III Internatsionala,19/01/1946,2,Яков Свердлов,33277
Баррикады / Barrikady,19/01/1946,3,Партизаны в степях Украины,1346998
Луч / Luch,19/01/1946,3,Радуга,37205
Юный зритель / IUnyĭ zritel',19/01/1946,2,Ленин в Октябре,29132
Аврора / Avrora,19/01/1946,3,Подруги,26874
Орион / Orion,19/01/1946,5,Зоя,37482
Таганский / Taganskiĭ,19/01/1946,3,Оборона Царицына,35142
Смена / Smena,19/01/1946,2,Якутия,Unknown
Смена / Smena,19/01/1946,2,В уссурийской тайге,Unknown
Смена / Smena,19/01/1946,2,Горная Шория,Unknown
Смена / Smena,19/01/1946,2,Хакассия,Unknown
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,19/01/1946,3,Выборгская сторона,32104
Арс / Ars,19/01/1946,2,Сибирь Советская,Unknown: net-film.ru
Арс / Ars,19/01/1946,2,Советское Приморье,Unknown: net-film.ru
Арс / Ars,19/01/1946,2,Озеро Телецкое,Unknown
Арс / Ars,19/01/1946,2,Амур, Unknown
Октябрь / Oktiabr',19/01/1946,2,Человек с ружьем,29986
Заря / Zaria,20/01/1946,2,Чапаев,24966
Авангард / Avangard,20/01/1946,2,Берлин,Unknown
Диск / Disk,20/01/1946,2,Кутузов,36572
Ударник / Udarnik,21/01/1946,8,Песни Абая,175031
Метрополь / Metropol',21/01/1946,23,Песни Абая,175031
Москва / Moskva,21/01/1946,8,Песни Абая,175031
Колизей / Kolizeĭ,21/01/1946,8,Песни Абая,175031
Родина / Rodina,21/01/1946,8,Песни Абая,175031
Художественный / Khudozhestvennyĭ,21/01/1946,8,Песни Абая,175031
Центральный / Tsentral'nyĭ,21/01/1946,8,Песни Абая,175031
Шторм / Shtorm,21/01/1946,9,Песни Абая,175031
Форум / Forum,21/01/1946,8,Песни Абая,175031
Таганский / Taganskiĭ,21/01/1946,9,Песни Абая,175031
Динамо / Dinamo,21/01/1946,9,Песни Абая,175031
Орион / Orion,21/01/1946,9,Песни Абая,175031
Октябрь / Oktiabr',21/01/1946,8,Повесть о наших детях,Unknown: net-film.ru
Юный зритель / IUnyĭ zritel',21/01/1946,8,Повесть о наших детях,Unknown: net-film.ru
Экспресс / Ėkspress,21/01/1946,5,Поединок,37914
Спартак / Spartak,21/01/1946,5,В шесть часов вечера после войны,37423
Смена / Smena,21/01/1946,8,Воздушный извозчик,37353
Арс / Ars,21/01/1946,8,Тахир и Зухра,237800
Таганский ПКиО / Taganskiĭ PKIO,21/01/1946,2,Большая земля,36657
Аврора / Avrora,21/01/1946,1,Непокоренные,37941
Мир / Mir,21/01/1946,1,Дни и ночи,37646
Молот / Molot,21/01/1946,2,Член правительства,32337
Театр киноактера / Teatr kinoaktera,22/01/1946,1,За Советскую Родину,29813
Ударник / Udarnik,23/01/1946,3,Выборгская сторона,32104
Наука и знание / Nauka i znanie,23/01/1946,4,Закон великой любви,38267
Наука и знание / Nauka i znanie,23/01/1946,4,Кубок СССР,Unknown
Наука и знание / Nauka i znanie,23/01/1946,4,"Специальный киновыпуск ""Челси"" - ""Динамо""",Unknown
Наука и знание / Nauka i znanie,23/01/1946,4,"Специальный выпуск ""Ренджерс"" - ""Динамо""",Unknown
Наука и знание / Nauka i znanie,23/01/1946,4,"Специальный киновыпуск ""Кардифф-Сити"" - ""Динамо""",Unknown
Динамо / Dinamo,23/01/1946,3,Учитель,32070
Баррикады / Barrikady,24/01/1946,9,Близнецы,39925
Луч / Luch,24/01/1946,9,Близнецы,39925
им. III Интернационала / im. III Internatsionala,24/01/1946,12,Близнецы,39925
Авангард / Avangard,24/01/1946,9,Близнецы,39925
Юный зритель / IUnyĭ zritel',24/01/1946,21,Близнецы,39925
Таганский ПКиО / Taganskiĭ PKIO,24/01/1946,2,Девушка спешит на свидание,27522
Мир / Mir,24/01/1946,5,Комендант птичьего острова,22065
Уран / Uran,24/01/1946,6,В старом Чикаго,29047
Заря / Zaria,24/01/1946,2,Тетка Чарлея,33457
Диск / Disk,24/01/1946,2,Моя любовь,32812
Октябрь / Oktiabr',24/01/1946,2,Весенний вальс,33095
Молот / Molot,24/01/1946,8,Аршин Мал-Алан,37520
Кадр / Kadr,24/01/1946,1,Разгром Юденича,34084
Москва / Moskva,24/01/1946,2,Александр Покрышкин,Unknown: youtube.com
Москва / Moskva,24/01/1946,2,Вена,Unknown
Москва / Moskva,25/01/1946,4,Поединок,37914
Театр киноактера / Teatr kinoaktera,25/01/1946,1,Актриса,35620
Метрополь / Metropol',25/01/1946,1,Петр Первый 2 серия,29405
Художественный / Khudozhestvennyĭ,26/01/1946,3,Петр Первый 2 серия,29405
Родина / Rodina,26/01/1946,3,Ленинград в борьбе,34971
Центральный / Tsentral'nyĭ,26/01/1946,3,Яков Свердлов,33277
Колизей / Kolizeĭ,26/01/1946,5,Разгром Японии,171687
Форум / Forum,26/01/1946,2,Небо Москвы,37122
Востоккино / Vostokkino,26/01/1946,2,Оборона Царицына,35142
Уран / Uran,26/01/1946,2,Чапаев,24966
Экран жизни / Ėkran zhizni,26/01/1946,3,Иван Грозный,37824
Экспресс / Ėkspress,26/01/1946,3,По военно-грузинской дороге,Unknown
Экспресс / Ėkspress,26/01/1946,3,По Абхазии,Unknown
Экспресс / Ėkspress,26/01/1946,3,На побережье Аджарии,Unknown
Экспресс / Ėkspress,26/01/1946,3,На Родине вождя,Unknown
Экспресс / Ėkspress,26/01/1946,3,Цхалтубо,Unknown
Спартак / Spartak,26/01/1946,2,В песках Средней Азии,36485
Спартак / Spartak,26/01/1946,2,Вахш,Unknown
Мир / Mir,26/01/1946,2,Большая земля,36657
Молот / Molot,26/01/1946,3,Человек с ружьем,29986
Шторм / Shtorm,26/01/1946,3,Выборгская сторона,32104
им. III Интернационала / im. III Internatsionala,26/01/1946,2,Ленин в Октябре,29132
Баррикады / Barrikady,26/01/1946,2,Небо Москвы,37122
Луч / Luch,26/01/1946,3,Она защищает Родину,36236
Юный зритель / IUnyĭ zritel',26/01/1946,2,Иван Никулин - русский матрос,36963
Орион / Orion,26/01/1946,3,Партизаны в степях Украины,1346998
Таганский / Taganskiĭ,26/01/1946,3,Щорс,31919
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,26/01/1946,3,Ленин в 1918 году,31564
Смена / Smena,26/01/1946,2,Выборгская сторона,32104
Арс / Ars,26/01/1946,2,В песках Средней Азии,36485
Арс / Ars,26/01/1946,2,Вахш,Unknown
Октябрь / Oktiabr',26/01/1946,2,Выборгская сторона,32104
Кадр / Kadr,26/01/1946,3,Большая земля,36657
Заря / Zaria,27/01/1946,5,Как закалялась сталь,34932
Авангард / Avangard,27/01/1946,2,Непокоренные,37941
Аврора / Avrora,27/01/1946,2,Член правительства,32337
Диск / Disk,27/01/1946,2,Иван Грозный,37824
Наука и знание / Nauka i znanie,27/01/1946,7,Оборона Царицына,35142
Наука и знание / Nauka i znanie,27/01/1946,5,Парад физкультурников,Unknown: kinopoisk.ru
Наука и знание / Nauka i znanie,27/01/1946,5,Бокс,Unknown
Наука и знание / Nauka i znanie,27/01/1946,5,Лыжный спорт,Unknown
Наука и знание / Nauka i znanie,27/01/1946,5,Прыгуны,Unknown
Театр киноактера / Teatr kinoaktera,28/01/1946,16,Великий перелом,37426
Арс / Ars,28/01/1946,8,Серенада солнечной долины,34241
Художественный / Khudozhestvennyĭ,28/01/1946,1,Девушка спешит на свидание,27522
Октябрь / Oktiabr',28/01/1946,5,Тетка Чарлея,33457
Смена / Smena,28/01/1946,5,В шесть часов вечера после войны,37423
Ударник / Udarnik,28/01/1946,1,Ураган,29030
Динамо / Dinamo,28/01/1946,2,Будни,3028088
Орион / Orion,28/01/1946,1,Любимая девушка,173996
Экспресс / Ėkspress,28/01/1946,4,Гаврош,175649
Кадр / Kadr,28/01/1946,4,Весенний вальс,33095
Спартак / Spartak,28/01/1946,4,Сердца четырех,38533
Ударник / Udarnik,29/01/1946,15,Великий перелом,37426
Москва / Moskva,29/01/1946,15,Великий перелом,37426
Колизей / Kolizeĭ,29/01/1946,15,Великий перелом,37426
Родина / Rodina,29/01/1946,15,Великий перелом,37426
Художественный / Khudozhestvennyĭ,29/01/1946,15,Великий перелом,37426
Центральный / Tsentral'nyĭ,29/01/1946,15,Великий перелом,37426
Форум / Forum,29/01/1946,15,Великий перелом,37426
Заря / Zaria,29/01/1946,3,Разгром Японии,171687
Мир / Mir,29/01/1946,4,Серенада солнечной долины,34241
Диск / Disk,29/01/1946,4,Девушка спешит на свидание,27522
Театр киноактера / Teatr kinoaktera,29/01/1946,1,Чапаев,24966
Таганский ПКиО / Taganskiĭ PKIO,29/01/1946,2,Малахов Курган,37043
Метрополь / Metropol',30/01/1946,35,Великий перелом,37426
Шторм / Shtorm,30/01/1946,14,Великий перелом,37426
Таганский / Taganskiĭ,30/01/1946,14,Великий перелом,37426
Динамо / Dinamo,30/01/1946,14,Великий перелом,37426
Орион / Orion,30/01/1946,14,Великий перелом,37426
Хроника / Khronika,30/01/1946,9,Судебный процесс в Смоленске,2700662
Новости дня / Novosti dnia,30/01/1946,9,Судебный процесс в Смоленске,2700662
Хроника / Khronika,30/01/1946,1,Новости дня №3 1946 г.,Unknown
Новости дня / Novosti dnia,30/01/1946,1,Новости дня №3 1946 г.,Unknown
Хроника / Khronika,30/01/1946,1,Новости дня №4 1946 г.,Unknown
Новости дня / Novosti dnia,30/01/1946,1,Новости дня №4 1946 г.,Unknown
Уран / Uran,30/01/1946,14,Леди Гамильтон,34272
Ударник / Udarnik,30/01/1946,3,Человек с ружьем,29986
Метрополь / Metropol',30/01/1946,1,Суворов,33118
Хроника / Khronika,31/01/1946,8,Новости дня №5 1946 г.,Unknown
Новости дня / Novosti dnia,31/01/1946,8,Новости дня №5 1946 г.,Unknown
Москва / Moskva,31/01/1946,2,Берлин,Unknown
Наука и знание / Nauka i znanie,01/02/1946,5,Возвращение Максима,29740
Востоккино / Vostokkino,01/02/1946,34,Свадьба,37332
Таганский ПКиО / Taganskiĭ PKIO,01/02/1946,1,Свадьба,37332
Экран жизни / Ėkran zhizni,01/02/1946,14,Лисички,Unknown
Заря / Zaria,01/02/1946,5,Человек в футляре,252315
Кадр / Kadr,01/02/1946,1,Битва за Севастополь,5252570
Октябрь / Oktiabr',04/02/1946,11,Близнецы,39925
Таганский ПКиО / Taganskiĭ PKIO,04/02/1946,5,Близнецы,39925
Смена / Smena,04/02/1946,5,Девушка спешит на свидание,27522
Экспресс / Ėkspress,04/02/1946,11,Тахир и Зухра,237800
Спартак / Spartak,04/02/1946,5,Песнь о России,Unknown: kinopoisk.ru
Кадр / Kadr,04/02/1946,4,Тетка Чарлея,33457
Молот / Molot,04/02/1946,3,Лисички,Unknown
Мир / Mir,04/02/1946,5,Ураган,29030
Молот / Molot,04/02/1946,1,Ленин в Октябре,29132
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,04/02/1946,1,Яков Свердлов,33277
Театр киноактера / Teatr kinoaktera,04/02/1946,2,Оборона Царицына,35142
Центральный / Tsentral'nyĭ,04/02/1946,1,Выборгская сторона,32104
Заря / Zaria,04/02/1946,1,Выборгская сторона,32104
Родина / Rodina,04/02/1946,1,Малахов Курган,37043
Авангард / Avangard,04/02/1946,1,Ленинград в борьбе,34971
Луч / Luch,04/02/1946,1,Большая земля,36657
Шторм / Shtorm,04/02/1946,1,За Советскую Родину,29813
Центральный / Tsentral'nyĭ,05/02/1946,4,Наш кандидат О. Ф. Леонова,Unknown
Метрополь / Metropol',05/02/1946,4,Наш кандидат О. Ф. Леонова,Unknown
Экран жизни / Ėkran zhizni,05/02/1946,4,Наш кандидат О. Ф. Леонова,Unknown
Востоккино / Vostokkino,05/02/1946,4,Наш кандидат О. Ф. Леонова,Unknown
Экспресс / Ėkspress,05/02/1946,4,Наш кандидат О. Ф. Леонова,Unknown
Диск / Disk,05/02/1946,2,Разгром Японии,171687
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,05/02/1946,15,Цирк,28420
им. III Интернационала / im. III Internatsionala,05/02/1946,4,Тетка Чарлея,33457
Арс / Ars,05/02/1946,4,Ураган,29030
Баррикады / Barrikady,05/02/1946,4,Жила-была девочка,37479
Луч / Luch,05/02/1946,4,Маскарад,33886
Авангард / Avangard,05/02/1946,4,В шесть часов вечера после войны,37423
Таганский ПКиО / Taganskiĭ PKIO,05/02/1946,1,Дни и ночи,37646
Заря / Zaria,06/02/1946,9,Близнецы,39925
Наука и знание / Nauka i znanie,06/02/1946,3,Выборгская сторона,32104
Ударник / Udarnik,06/02/1946,1,Оборона Царицына,35142
